ppt,group,score,age,gender
444,Low,0,26,1
446,VeryLow,-0.3333333329999999,39,2
447,Low,0,29,1
448,VeryLow,-1.666666667,27,1
449,Low,0.6666666670000001,64,1
450,High,0,30,1
452,Low,0.3333333329999999,44,2
453,VeryLow,0,29,1
455,VeryLow,0.3333333329999999,31,2
456,High,0.6666666670000001,69,1
457,High,0,36,1
459,Low,1,55,2
461,VeryLow,-0.6666666670000001,26,1
463,High,0,30,2
465,High,0,37,1
467,VeryLow,1,23,1
469,Low,0,41,1
471,VeryLow,0,65,2
472,Low,-0.3333333329999999,33,2
475,Low,0,31,2
480,High,-0.3333333329999999,26,2
481,High,0,28,2
483,Low,-0.6666666669999999,52,1
486,High,0,39,1
488,VeryLow,0,44,2
491,High,0,73,1
492,Low,0,36,2
493,Low,0,48,2
494,VeryLow,0.3333333329999999,32,1
497,High,0.3333333329999999,28,1
499,VeryLow,0,33,1
505,VeryLow,0,48,2
508,High,0.3333333329999999,29,1
510,High,0,29,2
516,VeryLow,0,30,1
517,Low,-1,33,1
518,Low,0,27,1
519,VeryLow,0,34,2
522,VeryLow,-0.6666666670000001,38,2
524,VeryLow,0,41,2
525,Low,-0.3333333329999999,26,2
526,High,0.3333333329999999,33,2
527,VeryLow,0,38,1
529,Low,0,35,2
530,High,0,28,1
535,VeryLow,0,31,1
537,High,0,34,2
543,VeryLow,0,33,1
546,Low,0.6666666670000001,34,1
548,Low,0.3333333340000002,28,1
549,VeryLow,0,33,1
550,VeryLow,0,62,2
553,Low,0,61,2
554,High,-1,40,2
557,High,-0.3333333340000002,53,2
559,High,-0.3333333330000001,46,1
563,High,0,58,1
564,Low,-1,28,1
565,High,0.3333333340000002,45,2
566,High,0,40,2
567,VeryLow,0,23,1
568,Low,0,34,2
569,VeryLow,0,36,1
570,Low,0,49,2
571,Low,0.3333333329999999,45,1
572,High,0,66,2
581,VeryLow,0.3333333329999999,28,2
582,High,0,33,1
583,VeryLow,1,28,1
584,Low,0,29,1
585,Low,0,43,2
592,Low,0,34,2
593,High,0,35,1
595,Low,0.6666666670000001,30,1
597,VeryLow,0,26,1
599,High,-0.3333333329999999,24,2
602,High,0.6666666670000001,49,1
603,High,0.3333333329999999,31,2
604,Low,-0.6666666670000001,31,2
607,High,0.3333333329999999,31,2
608,VeryLow,0,29,2
611,Low,-0.3333333330000001,25,2
612,VeryLow,0,31,2
615,VeryLow,0.3333333330000001,22,2
