age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
13.85,0,1,44,6,11,23,23,32,16
12.99,0,0,44,14,20,22,16,26,25
14.79,0,0,36,12,18,17,19,26,23
13.05,1,0,33,11,16,22,17,29,25
15.02,1,1,32,19,27,25,24,35,28
13.02,0,0,42,9,15,21,20,35,13
13.32,1,0,34,16,19,22,19,30,30
13.52,1,1,36,12,20,23,23,35,35
13.94,1,1,44,6,13,20,17,30,13
15.84,1,1,40,14,25,22,17,28,19
14.78,1,0,34,12,19,21,20,27,21
13.73,0,0,31,7,11,16,25,25,14
15.08,1,1,34,6,14,21,20,27,21
13.71,1,0,46,8,19,24,25,34,26
13.2,0,1,38,6,23,25,21,35,18
14.76,1,1,29,17,19,16,16,17,18
13.82,1,1,42,13,22,23,21,29,30
14.11,1,1,32,20,22,17,19,24,18
14.68,1,1,40,21,28,23,24,31,24
15.43,0,1,36,12,16,19,19,24,15
14.05,0,0,46,9,26,24,21,32,32
14.71,1,1,37,14,20,18,19,29,23
12,1,1,44,25,31,24,23,33,31
15.3,0,1,42,6,14,24,25,35,21
15.54,0,0,42,19,28,19,18,33,24
14.03,1,0,45,9,11,25,23,32,26
13.9,1,1,43,16,31,22,7,31,32
13.76,1,0,45,7,11,23,19,34,20
14.03,0,1,44,6,11,23,25,32,17
14.34,1,1,40,18,29,23,23,30,21
12.51,1,1,36,7,13,25,25,34,23
15.34,0,1,31,11,15,22,21,31,21
12.31,0,0,22,7,10,15,9,19,17
12.38,1,1,35,7,13,22,20,33,29
14.99,1,0,47,6,16,25,23,33,33
15.74,0,0,38,8,19,25,25,34,21
12.22,1,0,36,6,7,23,23,28,16
14.83,0,1,42,7,24,25,21,28,19
14.13,0,1,34,10,18,20,21,30,25
12.78,0,0,35,10,13,21,13,24,18
14.2,1,1,42,12,16,22,18,30,25
12.64,1,1,45,6,12,24,23,34,29
12.31,0,0,34,6,17,24,23,35,29
13.58,0,1,36,6,16,19,15,32,17
13.87,1,0,46,6,19,24,23,33,16
14.99,1,0,44,12,16,17,15,26,21
15.82,0,1,41,15,20,22,25,35,32
14.22,1,0,48,7,13,25,24,35,26
14.22,1,1,35,13,21,22,19,26,18
15.91,0,1,39,6,7,25,25,35,15
14.59,1,1,42,6,20,24,22,34,23
15.16,1,1,40,17,24,23,19,27,28
13.73,0,0,26,9,18,18,20,29,25
14.37,1,0,44,13,20,20,16,29,28
15.64,1,0,34,8,17,20,15,26,27
14.44,1,0,38,6,9,22,22,31,33
15.63,1,1,35,10,16,21,20,30,28
13.78,0,1,35,10,17,22,22,30,18
13.57,1,1,34,25,24,15,12,20,18
12.59,0,0,44,8,9,21,18,34,27
15.25,1,0,45,6,13,24,24,32,30
14.4,1,1,34,11,13,22,18,32,18
13.3,1,0,39,6,18,24,25,33,19
13.58,0,1,37,6,11,25,25,34,12
13.92,1,0,49,8,13,21,23,21,21
13.28,1,1,41,11,23,20,21,29,16
14.43,0,1,38,6,11,23,23,35,29
14.63,1,1,37,14,20,21,20,30,25
14.3,0,0,40,12,16,20,17,29,19
12.51,1,1,37,19,24,19,14,27,24
13.16,1,1,35,7,12,17,20,17,27
15.53,1,1,47,15,21,20,20,30,30
14.98,1,1,42,25,32,24,19,34,33
14.89,0,1,39,7,16,23,21,33,32
15.68,1,1,44,13,24,21,23,30,29
14.38,0,1,40,15,21,21,16,33,17
13.22,1,0,38,7,21,20,19,30,25
14.32,0,1,43,8,16,21,20,29,19
15.47,1,0,31,14,30,20,23,35,33
14.7,1,0,40,6,15,25,25,35,22
14.19,1,1,30,21,25,20,15,27,28
13.85,1,0,29,6,12,24,23,25,17
12.84,0,0,42,6,8,23,21,35,10
12.03,1,1,39,7,25,22,24,31,16
12.72,0,1,31,8,14,23,22,27,15
13.69,1,1,38,6,22,22,24,30,20
14.6,1,1,48,6,13,25,16,35,24
14.03,0,1,45,6,21,22,24,28,25
14.41,1,1,41,8,8,24,18,33,12
12.01,0,0,16,9,14,14,17,20,11
14.4,0,0,44,6,13,18,15,27,21
13.4,0,0,40,6,9,20,17,31,22
14.78,1,1,32,9,22,22,19,35,20
13.3,0,1,36,6,12,20,22,31,19
14.67,0,1,38,6,9,21,20,30,23
14.08,0,0,34,8,9,19,20,29,19
13.23,1,1,40,6,13,21,23,27,13
14.43,1,0,46,8,20,23,22,33,31
13.55,1,1,34,6,16,23,21,30,22
14.85,0,1,45,8,7,24,23,32,16
13.67,1,0,28,7,9,20,21,28,15
13.3,1,1,34,10,19,18,19,25,16
14.81,1,1,43,6,13,25,25,35,18
12.15,0,1,43,6,14,24,17,28,18
13.34,1,1,47,6,16,25,23,35,24
13.48,1,0,36,14,17,16,16,30,22
13.93,0,1,43,6,10,25,24,33,18
14.28,1,1,37,9,13,24,21,33,21
14.4,1,1,42,6,29,23,5,33,29
12.08,1,1,37,11,17,21,20,30,19
14.54,0,0,41,6,9,24,15,33,20
13.51,0,0,31,11,22,19,14,29,12
12.24,0,1,20,16,19,14,8,19,11
14.17,0,0,31,12,15,18,12,27,22
14.6,1,1,39,12,28,18,18,24,21
12.9,1,1,41,6,16,25,25,32,26
13.16,0,1,44,7,9,19,22,30,10
12.15,0,0,43,6,7,22,23,32,25
14.91,1,1,45,12,26,21,20,21,30
13.52,1,1,37,17,20,16,16,25,31
14.52,0,1,27,17,24,16,18,27,26
14.81,1,1,30,14,24,20,18,32,20
15.2,1,1,34,12,15,23,18,32,12
14.1,1,1,43,12,20,22,17,29,25
14.68,1,1,42,6,17,23,20,32,23
14.09,1,0,40,7,16,22,18,29,26
12.16,1,0,43,12,19,19,17,29,33
13.39,0,0,39,6,14,24,24,35,28
12.08,0,0,38,10,14,24,16,32,22
15.02,1,1,44,17,29,24,22,30,27
15.68,1,1,35,15,24,20,20,32,30
14.05,0,1,43,6,21,23,23,32,23
14.3,0,1,31,6,14,23,12,31,28
14.19,0,0,39,6,8,23,22,33,19
14.82,1,1,45,24,25,20,17,24,26
14.01,0,0,45,7,13,17,24,25,26
15.2,1,1,45,11,24,25,24,35,27
12.44,0,0,39,6,14,23,23,31,22
