age,gender,concern,exaggerate,behaviour,urgency,responsibility,pay,hedonism,nuclear
56,1,2,2,2,2,2,2,3,3
16,0,2,2,2,4,3,4,3,3
64,1,2,2,2,4,2,4,4,2
63,1,2,3,1,3,2,4,3,4
36,0,2,2,2,4,2,3,3,4
22,1,2,1,2,2,2,1,3,5
84,1,2,4,2,4,2,2,2,3
49,1,2,5,1,5,2,2,1,2
20,0,2,4,2,3,2,2,4,5
42,0,2,3,2,2,2,5,2,5
26,1,1,4,2,1,1,2,4,4
37,0,1,5,2,2,2,2,3,3
45,1,3,2,2,5,2,5,2,2
68,1,4,4,1,5,4,4,3,5
32,1,1,5,1,4,1,2,3,4
45,0,2,1,4,3,4,4,3,5
36,1,2,4,3,2,3,3,3,2
68,0,1,5,2,2,2,2,3,5
62,1,3,4,3,4,2,4,2,2
51,0,2,4,4,4,3,2,1,3
53,1,2,4,2,3,3,2,3,2
16,0,2,2,2,4,2,2,4,3
81,1,3,1,2,5,2,2,3,1
66,0,3,2,4,4,4,5,2,2
28,0,2,4,2,2,2,4,3,3
62,1,2,4,2,2,3,4,2,2
35,0,2,4,2,4,2,4,4,4
47,1,2,4,1,2,1,2,3,2
74,0,4,1,5,5,5,3,4,4
51,1,3,3,2,4,3,4,2,3
44,0,1,4,1,2,2,4,3,4
39,1,1,1,1,2,1,5,4,4
28,0,1,5,1,1,1,1,3,3
46,0,1,2,2,4,2,3,3,4
63,0,1,5,3,3,2,3,1,3
26,1,2,2,4,4,4,2,4,2
23,1,2,2,2,4,2,3,3,3
36,1,2,2,2,4,1,4,3,2
41,0,1,2,1,5,1,1,1,5
53,0,2,2,2,4,2,1,2,4
49,0,2,3,2,4,2,4,4,1
31,1,1,2,1,3,1,1,3,5
60,0,1,4,2,2,1,3,3,3
74,1,2,2,2,3,4,2,2,1
63,1,1,5,1,1,1,3,3,5
73,1,4,4,3,4,3,3,3,3
58,0,2,4,3,4,2,1,2,3
44,0,1,5,2,2,2,4,2,2
77,1,1,1,1,1,1,2,4,4
82,1,3,2,4,4,2,2,2,3
58,1,2,2,2,3,2,2,3,2
76,0,1,5,3,3,1,4,1,3
21,1,2,3,2,2,2,4,3,3
59,1,3,1,2,5,2,2,3,4
82,0,3,1,4,4,4,4,2,2
41,1,2,4,1,1,1,4,5,4
36,1,4,1,5,5,5,1,1,5
19,0,1,4,2,4,2,4,3,2
53,1,2,2,2,2,2,4,3,2
50,0,1,5,1,1,1,3,1,5
33,0,5,3,2,3,3,1,3,3
57,1,4,5,2,5,4,4,4,1
73,1,3,2,4,2,3,2,1,2
42,1,2,4,2,2,2,2,2,5
80,0,2,2,5,5,5,5,2,3
58,0,2,3,2,3,2,3,2,4
46,1,2,4,2,2,2,3,3,4
56,0,2,2,2,5,2,3,4,3
43,0,2,3,2,2,2,3,4,4
30,0,1,4,2,2,2,2,3,5
38,1,1,2,2,2,2,3,3,3
33,0,2,3,3,4,3,3,3,5
18,1,2,2,2,3,1,2,3,1
58,0,2,1,3,4,3,5,4,2
47,0,2,5,2,2,2,2,3,4
20,0,3,2,4,4,4,4,4,3
17,1,1,4,2,1,2,3,2,3
69,1,3,4,2,2,1,4,2,5
50,0,1,5,1,3,1,1,5,3
65,1,1,5,2,2,2,2,3,3
86,0,4,4,5,5,5,2,3,2
72,1,3,1,5,5,5,4,2,1
44,0,2,4,2,2,2,1,2,2
61,1,1,5,1,2,2,5,2,2
48,0,2,2,2,4,2,2,2,3
65,1,3,2,4,4,2,3,4,4
34,1,3,2,4,2,2,4,2,1
56,0,1,5,1,1,1,4,4,5
32,1,2,3,2,2,2,2,4,4
